"layer","case","idx","us"
"B0-A","PA10 (10 actions + anchor refs)","36","204.99706268310547"
"B0-A","PA10 (10 actions + anchor refs)","37","200.00457763671875"
"B0-A","PA10 (10 actions + anchor refs)","38","200.00457763671875"
"B0-A","PA10 (10 actions + anchor refs)","39","205.00421524047852"
"B0-A","PA10 (10 actions + anchor refs)","40","200.01649856567383"
"B0-A","PA10 (10 actions + anchor refs)","41","199.98788833618164"
"B0-A","PA10 (10 actions + anchor refs)","42","200.00457763671875"
"B0-A","PA10 (10 actions + anchor refs)","43","205.00898361206055"
"B0-A","PA10 (10 actions + anchor refs)","44","200.05226135253906"
"B0-A","PA10 (10 actions + anchor refs)","45","205.11388778686523"
"B0-A","PA10 (10 actions + anchor refs)","46","205.00421524047852"
"B0-A","PA10 (10 actions + anchor refs)","47","200.00219345092773"
"B0-A","PA10 (10 actions + anchor refs)","48","205.0018310546875"
"B0-A","PA10 (10 actions + anchor refs)","49","200.00934600830078"
"B0-A","PA10 (10 actions + anchor refs)","50","200.00219345092773"
"B0-B","P0","1","125"
"B0-B","P0","2","97.4"
"B0-B","P0","3","81.7"
"B0-B","P0","4","85.7"
"B0-B","P0","5","89.3"
"B0-B","P0","6","91.1"
"B0-B","P0","7","87"
"B0-B","P0","8","88.3"
"B0-B","P0","9","88.2"
"B0-B","P0","10","79.4"
"B0-B","P0","11","91.4"
"B0-B","P0","12","90.3"
"B0-B","P0","13","146.6"
"B0-B","P0","14","106.5"
"B0-B","P0","15","102.9"
"B0-B","P0","16","87.5"
"B0-B","P0","17","90.6"
"B0-B","P0","18","88.7"
"B0-B","P0","19","82.6"
"B0-B","P0","20","89.1"
"B0-B","P0","21","86"
"B0-B","P0","22","98.7"
"B0-B","P0","23","84"
"B0-B","P0","24","85.6"
"B0-B","P0","25","85.3"
"B0-B","P0","26","106.3"
"B0-B","P0","27","83.8"
"B0-B","P0","28","90.5"
"B0-B","P0","29","87.9"
"B0-B","P0","30","133.6"
"B0-B","P0","31","127.5"
"B0-B","P0","32","110.7"
"B0-B","P0","33","96.2"
"B0-B","P0","34","94.1"
"B0-B","P0","35","79"
"B0-B","P0","36","90.8"
"B0-B","P0","37","87.2"
"B0-B","P0","38","95"
"B0-B","P0","39","97.7"
"B0-B","P0","40","92.7"
"B0-B","P0","41","95.7"
"B0-B","P0","42","81.1"
"B0-B","P0","43","97.1"
"B0-B","P0","44","78.8"
"B0-B","P0","45","79.8"
"B0-B","P0","46","86.5"
"B0-B","P0","47","93.7"
"B0-B","P0","48","125.5"
"B0-B","P0","49","107.4"
"B0-B","P0","50","92.6"
"B0-B","P3","1","170.1"
"B0-B","P3","2","155.4"
"B0-B","P3","3","138.8"
"B0-B","P3","4","151.6"
"B0-B","P3","5","179"
"B0-B","P3","6","144.4"
"B0-B","P3","7","141"
"B0-B","P3","8","144.7"
"B0-B","P3","9","145.7"
"B0-B","P3","10","146.7"
"B0-B","P3","11","144.4"
"B0-B","P3","12","142.8"
"B0-B","P3","13","149.1"
"B0-B","P3","14","153"
"B0-B","P3","15","139"
"B0-B","P3","16","169.1"
"B0-B","P3","17","159.6"
"B0-B","P3","18","139.6"
"B0-B","P3","19","170.9"
"B0-B","P3","20","170.6"
"B0-B","P3","21","159.4"
"B0-B","P3","22","153"
"B0-B","P3","23","146.8"
"B0-B","P3","24","136.4"
"B0-B","P3","25","150.1"
"B0-B","P3","26","164.3"
"B0-B","P3","27","168.5"
"B0-B","P3","28","146.4"
"B0-B","P3","29","149.2"
"B0-B","P3","30","146.4"
"B0-B","P3","31","151"
"B0-B","P3","32","141.8"
"B0-B","P3","33","145.2"
"B0-B","P3","34","183.1"
"B0-B","P3","35","153.4"
"B0-B","P3","36","141"
"B0-B","P3","37","175.6"
"B0-B","P3","38","171.5"
"B0-B","P3","39","141.7"
"B0-B","P3","40","167.2"
"B0-B","P3","41","139.7"
"B0-B","P3","42","146.7"
"B0-B","P3","43","156.3"
"B0-B","P3","44","144.2"
"B0-B","P3","45","144.8"
"B0-B","P3","46","165.3"
"B0-B","P3","47","159.1"
"B0-B","P3","48","192.8"
"B0-B","P3","49","174.9"
"B0-B","P3","50","147.1"
